WONW,WON,WON,WON,WON,WON,WONE,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
WOW,W,W,W,W,W,WOE,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,WONW,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,WONE,E,E,E
WOW,FS,FS,FS,FS,FS,WOE,E,E,E,E,E,WONW,WON,WON,WON,WON,WON,WON,WON,WON,WONE,E,E,E,E,E,E,E,E,E,WOW,W,W,W,W,W,W,W,W,W,W,W,W,WMB,W,WOE,E,E,E
WOW,FP,FP,FP,FP,FP,WOE,E,E,E,E,E,WOW,W,W,W,W,W,W,WMB,W,WOE,E,E,E,E,E,E,E,E,E,WOW,FL,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,WOE,E,E,E
WOW,FP,FP,FP,FP,FP,FP,FP,FP,FP,E,E,WOW,FS,FS,FS,FS,FS,FS,FS,FS,WOE,E,E,E,E,E,E,E,E,E,E,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FP,WOE,E,E,E
WOW,FP,FP,FP,FP,FP,FE3,FE3,FE3,FP,E,E,WOW,FP,FP,FP,FP,FP,FP,FP,FP,WOE,E,E,E,E,E,E,E,E,E,WONW,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,FP,WOE,E,E,E
WOW,FP,FP,FP,FP,FMN2,E,E,E,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,WOE,E,E,E,E,E,E,E,E,E,WOW,W,W,W,W,W,W,W,W,W,W,W,W,W,FP,WOE,E,E,E
E,FE3,FE3,FE3,FE3,FE3,E,E,E,FE3,FE3,FE3,FE3,FP,FP,FP,FP,FP,FP,FP,FP,WOE,E,E,E,E,E,E,E,E,E,WOW,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FP,WOE,E,E,E
E,WONW,WON,WON,WON,WON,WON,WON,E,E,E,E,E,FE3,FE3,FP,FE3,FE3,FE3,FE3,FE3,E,E,E,E,E,E,E,E,E,E,WOW,FP,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,E,E,E,E
E,WOW,W,W,W,W,W,W,E,E,E,E,E,E,E,FP,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,WOW,FP,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,WON,E,E,E,E
E,WOW,FS,FS,FS,FS,FS,FS,FP,FP,FP,FP,FP,FP,FP,FP,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,WOW,FP,W,W,W,WMB,W,W,W,W,W,W,W,W,W,E,E,E,E
E,WOW,FP,FP,FP,FP,FP,FP,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,WOW,FP,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FP,FP,E,E
E,WOW,FP,FP,FP,FP,FP,FP,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,WOW,FMNE,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,E,E
E,WOW,FP,FP,FMN1,FP,FP,FP,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FE3,FP,FP,FE3,FE3,FE3,FE3,FE3,E,E,E
E,WOW,FP,FP,FP,FP,FP,FP,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,FP,FP,E,E,E,E,E,E,E,E
